Dangerous_Breed
Pit Bull
American Pit Bull Terrier
German Shepherd
Rottweiler
Doberman Pinsch
Staffordshire Bull Terrier
American Bulldog
Canary Island Dog
Alangu Mastiff
Argentine Dogo
Bedlington Terrier
Boston Terrier
Bull Terrier
Bully Kutta
Cane Corso
Dogo Argentino
English Mastiff
Gull Dong
Irish Staffordshire Bull Terrier
Korean Jindo Dog
Lottatore Brindisino
Neapolitan Mastiff
